Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.10.09.;Francija;260.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Apvienotā Karaliste;218.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Islande;211.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Luksemburga;172.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Slovākija;148.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Rumānija;142.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Ungārija;134;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Slovēnija;129.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Austrija;128.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Īrija;124.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Malta;123.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Portugāle;110.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Dānija;107.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Šveice;84.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Horvātija;83.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Polija;75.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Monako;72.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Sanmarīno;72.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Zviedrija;68.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Itālija;56.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Lietuva;55.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Bulgārija;52.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Igaunija;51.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Lihtenšteina;49.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Grieķija;44.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Vācija;41.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.09.;Latvija;40.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Somija;35.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Norvēģija;32.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Kipra;29.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Vatikāns;0;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Gruzija;145.7;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.09.;Tunisija;106.5;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.09.;Kanāda;70.7;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.09.;Urugvaja;7.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Japāna;5.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Dienvidkoreja;1.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Ruanda;0.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Austrālija;0.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Jaunzēlande;0.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.09.;Taizeme;0.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Vatikāns;1717.7;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Andora;1496.5;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Čehija;701.9;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Beļģija;577.9;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Nīderlande;461.4;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Francija;346.5;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Citas sarakstos neminētas visas pasaules valstis;;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Apvienotā Karaliste;320.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Spānija;304.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Islande;299.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Luksemburga;268.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Slovākija;243.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Slovēnija;231.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Malta;214.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Šveice;204;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Īrija;200.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Rumānija;200;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Portugāle;164.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Austrija;163.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Lihtenšteina;148.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Polija;148.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Ungārija;147.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Horvātija;140;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Itālija;106.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Monako;102.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Dānija;96.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Bulgārija;91.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Zviedrija;83.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Sanmarīno;78.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Lietuva;70.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Vācija;65.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.16.;Latvija;61.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Somija;52.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Grieķija;47.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Kipra;46.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Igaunija;40;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Norvēģija;36.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Gruzija;183.8;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Tunisija;140;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Kanāda;83.4;Rekomendēts nebraukt;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.16.;Urugvaja;10.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Japāna;5.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Dienvidkoreja;2.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Ruanda;0.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Austrālija;1.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Jaunzēlande;0.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.16.;Taizeme;0.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Vatikāns;1717.8;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Andora;1631.7;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Čehija;1148.5;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Beļģija;1019.8;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Nīderlande;616.1;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Citas sarakstos neminētas visas pasaules valstis;;Nedoties bez īpašas nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi;10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.23.;Luksemburga;507.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Francija;488.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Apvienotā Karaliste;373.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Spānija;379.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Slovēnija;487.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Šveice;444.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Lihtenšteina;396.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Slovākija;359.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Malta;330.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Īrija;293.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Islande;280.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Polija;271.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Horvātija;266.4;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Portugāle;262.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Rumānija;259.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Austrija;234.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Itālija;210.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Ungārija;195;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Bulgārija;166.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Monako;157.2;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Sanmarīno;145.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Kipra;141.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Dānija;113.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Zviedrija;109.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Lietuva;108.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Vācija;106.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.23.;Latvija;82.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Grieķija;63.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Somija;52.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Igaunija;36.8;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Norvēģija;36.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Urugvaja;13.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Japāna;6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Dienvidkoreja;2.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Ruanda;1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Austrālija;1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Jaunzēlande;1.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Taizeme;0.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.23.;Singapūra;1.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.10.30.;Andora;1807.6;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Beļģija;1600.2;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Čehija;1512.3;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Luksemburga;995.6;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Slovēnija;962.1;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Šveice;859.2;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Vatikāns;858.9;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Lihtenšteina;805.1;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Nīderlande;732.2;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Citas sarakstos neminētas visas pasaules valstis;;"Nedoties bez īpašas
nepieciešamības/aizliegti tiešie starptautiskie pasažieru pārvadājumi";10 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.10.30.;Francija;706;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Horvātija;521.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Spānija;508.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Slovākija;504.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Sanmarīno;490.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Polija;445.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Apvienotā Karaliste;437.7;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Austrija;400;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Itālija;389.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Portugāle;382.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Malta;347.3;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Rumānija;311.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Bulgārija;294.9;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Ungārija;290.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Monako;284.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Īrija;282.8;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Islande;247.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Lietuva;226.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Kipra;213.5;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Vācija;182.1;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
2020.10.30.;Zviedrija;181.6;Rekomendēts nebraukt;"10 dienas pēc izbraukšanas no valsts vai
valsts šķērsošanas tranzīta nolūkā";…;…;…;…;…;…
